#CREDIT_REPAID   = 
#CREDIT_TAKEN    = 
#ACCOUNT_BALANCE = 

#ACHIEVEMENTS                        = 
#ACHIEVEMENTCATEGORY_CATEGORIES      = 
#ACHIEVEMENTCATEGORY_ALL             = 
#ACHIEVEMENTCATEGORY_NEWS            = 
#ACHIEVEMENTCATEGORY_PROGRAMMES      = 
#ACHIEVEMENTCATEGORY_STATIONMAP      = 
#ACHIEVEMENTCATEGORY_MISC            = 
#YOU_JUST_COMPLETED_ACHIEVEMENTTITLE = 
#ACHIEVEMENT_COMPLETED               = 
#REWARD                              = 
#TASK                                = 

#BEFORE_XTH_PLAYER_RESTART = 

#PLAYER_WENT_BANKRUPT                   = 
#PLAYER_X_FROM_CHANNEL_Y_WENT_BANKRUPT1 = 
#PLAYER_X_FROM_CHANNEL_Y_WENT_BANKRUPT2 = 
#PLAYER_X_FROM_CHANNEL_Y_WENT_BANKRUPT3 = 
#PLAYER_WILL_START_AGAIN                = 
#AI_WILL_TAKE_OVER_THIS_PLAYER          = 


STATISTICS_NOT_AVAILABLE    = Statistiques non disponibles
BROADCASTING_OUTAGE         = Panne de diffusion
ADVERTISMENT                = Publicité
BLOCK                       = block
BLOCKS                      = blocks
NEWS                        = News
SPECIAL_NEWS_BROADCAST      = Flash Special
PROGRAMME                   = Programme
TV_OFF                      = La TV est sur off
TV_TURN_IT_ON               = Vous devriez rallumer la TV
AUDIENCE_RATING             = Audience rating
AUDIENCE_RATINGS            = Audience ratings
POTENTIAL_AUDIENCE_NUMBER   = Audience potentiel
#POTENTIAL_AUDIENCE          = 
AUDIENCE_NUMBER             = audience
INVALID_BY_BROADCAST_OUTAGE = Invalid by broadcast outage
NEXT_ADBLOCK                = A suivre
NEXT_PROGRAMME              = Programme Suivant
NEXT_NOTHINGSET             = Rien

FINANCES_EXPENSES                    = Dépenses
FINANCES_INCOME                      = Revenu
#FINANCES_TODAYS_INCOME               = 
FINANCES_LAST_FINANCIAL_ACTIVITIES   = Derniers activités financières
FINANCES_FINANCIAL_CURVES            = Courbes financières
FINANCES_TRADING_PROGRAMMELICENCES   = Trader avec les Licences
FINANCES_AD_INCOME__CONTRACT_PENALTY = Revenu de la pub / penalité de contrat
FINANCES_CALL_IN_SHOW_INCOME         = Revenu des Shows
FINANCES_SPONSORSHIP_INCOME__PENALTY = Sponsoring: Revenu / Penalité
FINANCES_STATIONS                    = Stations
FINANCES_STATIONS_FEES               = Stations: Maintenance
FINANCES_STATIONS_BUY_SELL           = Stations: Vendu / Acheté
FINANCES_CREDIT_TAKEN__REPAYED       = Credit: Nouveau / Remboursement
FINANCES_SCRIPTS                     = Scripts
FINANCES_ACTORS_AND_PRODUCTIONSTUFF  = Acteurs et production
FINANCES_STUDIO_RENT                 = Location Studio
FINANCES_NEWS                        = JT
FINANCES_NEWSAGENCIES                = News agencies
FINANCES_INTEREST_BALANCE__CREDIT    = Intérêts: Balance / Credit
FINANCES_MISC                        = Divers
#FINANCES_GRANTED_BENEFITS            = 
FINANCES_TOTAL                       = Total

FINANCES_HISTORY_FOR_CREDITREPAID         = remboursement credit
FINANCES_HISTORY_FOR_CREDITTAKEN          = emprunt
FINANCES_HISTORY_FOR_STATIONBOUGHT        = station acheté
FINANCES_HISTORY_FOR_STATIONSOLD          = station vendu
FINANCES_HISTORY_OF_STATIONFEES           = station redevance
#FINANCES_HISTORY_OF_BROADCASTPERMISSIONS  = 
FINANCES_HISTORY_FOR_MISC                 = diver
#FINANCES_HISTORY_OF_GRANTED_BENEFITS      = 
FINANCES_HISTORY_FOR_PROGRAMMELICENCE     = pour programme: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBID           = pour enchére: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBIDREPAYED    = remboursement enchére: %TITLE%
FINANCES_HISTORY_OF_CALLERREVENUE         = Call-In-income
FINANCES_HISTORY_OF_INFOMERCIALREVENUE    = pour publireportage
FINANCES_HISTORY_OF_ADPROFIT              = annonce des benefices %TITLE%
FINANCES_HISTORY_OF_SPONSORSHIPREVENUE    = sponsoring
FINANCES_HISTORY_OF_PENALTY               = penalité du contrat
FINANCES_HISTORY_FOR_SCRIPT               = pour scenario: %TITLE%
FINANCES_HISTORY_FOR_PRODUCTIONSTUFF      = pour production
FINANCES_HISTORY_FOR_RENT                 = for location
FINANCES_HISTORY_FOR_NEWS                 = for news/JT : %TITLE%
FINANCES_HISTORY_FOR_NEWSAGENCY           = for news / presse
FINANCES_HISTORY_OF_CREDITINTEREST        = intéret du credit
FINANCES_HISTORY_OF_DRAWINGCREDITINTEREST = intéret du credit
FINANCES_HISTORY_OF_BALANCEINTEREST       = balance intéret
FINANCES_HISTORY_FOR_SOMETHING            = pour quelque chose
#FINANCES_HISTORY_BY_CHEAT                 = 
